      Epoch    GPU_mem   box_loss   cls_loss   dfl_loss  Instances       Size         P         R     mAP50   mAP50-95   
    255/300       1.8G     0.5352      0.928      1.721          5        608     0.718    0.7481    0.7966    0.6026
    256/300       1.8G     0.5333     0.9343       1.71         11        608     0.719    0.7522    0.8001    0.6051
    257/300       1.8G     0.5305     0.9266      1.717         14        608    0.7165    0.7517    0.7984    0.6052
    258/300      1.91G     0.5386     0.9312      1.718          4        608    0.7151    0.7611    0.8013    0.6063
    259/300      1.91G     0.5267     0.9178      1.708         17        608    0.7127    0.7582    0.8002    0.6056
    260/300      1.91G     0.5364     0.9289      1.723         16        608     0.723    0.7456    0.8003    0.6067
    261/300      1.91G     0.5366     0.9399      1.728          7        608    0.7149    0.7491     0.799    0.6061
    262/300      1.91G     0.5308      0.921      1.708         16        608    0.7175    0.7521    0.8009    0.6077
    263/300      1.91G     0.5291     0.9283      1.704          9        608    0.7182    0.7538    0.8014    0.6075
    264/300      1.91G     0.5331     0.9363      1.707         22        608    0.7291    0.7422    0.8015    0.6077
    265/300      1.91G     0.5384     0.9511      1.729          6        608    0.7247    0.7494    0.8006    0.6058
    266/300      1.91G     0.5324     0.9349      1.706          7        608    0.7247    0.7471    0.8011    0.6069
    267/300      1.91G     0.5339     0.9278      1.727         22        608    0.7225    0.7478       0.8    0.6065
    268/300      1.91G     0.5328     0.9322      1.719          3        608    0.7277    0.7482    0.8008    0.6068
    269/300      1.91G     0.5365     0.9323      1.721         15        608    0.7226      0.75    0.7983    0.6056
    270/300      1.91G     0.5253     0.9105      1.717          7        608    0.7118    0.7599    0.7992    0.6054
    271/300      1.91G     0.5362     0.9314      1.713         12        608    0.7099    0.7658    0.8014    0.6065
    272/300      1.91G     0.5234     0.9136      1.702         20        608    0.7075    0.7668    0.8009    0.6059
    273/300      1.91G     0.5322     0.9299      1.724          7        608    0.7206    0.7549    0.8022     0.608
    274/300      1.91G     0.5309     0.9281       1.72         14        608    0.7212    0.7559    0.8024    0.6082
    275/300      1.91G     0.5259     0.9254      1.728         12        608    0.7172    0.7581    0.8011    0.6064
    276/300      1.91G     0.5303      0.927      1.722         20        608    0.7087    0.7634    0.7996    0.6054
    277/300      1.91G     0.5283     0.9315      1.709          4        608    0.7135    0.7568    0.7978     0.604
    278/300      1.91G     0.5379      0.928       1.72          3        608    0.7164     0.755    0.7988    0.6057
    279/300      1.91G     0.5197     0.9061      1.696         16        608    0.7164    0.7592    0.7999     0.607
    280/300      1.91G     0.5257     0.9267      1.708         10        608    0.7158    0.7612    0.8005    0.6073
    281/300      1.91G      0.524     0.9151      1.707          6        608    0.7159    0.7593     0.801    0.6071
    282/300      1.91G     0.5298     0.9221      1.707          5        608    0.7242    0.7502    0.8013    0.6077
    283/300      1.91G     0.5293     0.9297      1.706          6        608    0.7196    0.7533    0.8006    0.6073
    284/300      1.91G     0.5216     0.9201      1.697          3        608    0.7206    0.7537    0.8013    0.6069
    285/300      1.91G     0.5283     0.9304      1.704         23        608      0.72    0.7564    0.8011    0.6065
    286/300      1.91G     0.5297      0.934      1.725          3        608    0.7202    0.7604    0.8026    0.6082
    287/300      1.91G     0.5331     0.9292      1.718          4        608    0.7241    0.7583    0.8028    0.6089
    288/300      1.91G     0.5221     0.9167      1.691          9        608    0.7221    0.7553    0.8009     0.607
    289/300      1.91G     0.5244     0.9157      1.703          9        608    0.7206     0.758    0.8024    0.6083
    290/300      1.91G     0.5296      0.925      1.714          5        608    0.7178    0.7603    0.8022     0.608
    291/300      1.91G     0.5342     0.9398      1.717          3        608    0.7223    0.7585    0.8032    0.6093
